Pincode,Year,Quarter,Transaction_Count,Transaction_Amount
560001,2018,1,2917356,4684262246.184548
110006,2018,1,2636324,3714139312.238586
400008,2018,1,2227885,3105208723.475169
600003,2018,1,2010196,2997847000.265506
731101,2018,1,1764956,2366771285.7278423
700009,2018,1,1390629,1851145374.4001179
411001,2018,1,1055656,1413523605.5956619
500012,2018,1,933013,1643061976.4262943
462001,2018,1,832846,898730606.684653
201301,2018,1,690196,987613438.9540119
560001,2018,2,3777086,7545089760.607167
110006,2018,2,3069733,5237594871.124264
600003,2018,2,2771900,5194488793.022476
400008,2018,2,2631405,4703762207.003538
731101,2018,2,2134258,3697928407.603048
700009,2018,2,1473202,2566583723.725673
411001,2018,2,1316115,2145613783.5507011
500012,2018,2,1024336,2257038218.1929708
201301,2018,2,971854,1673280979.3831716
462001,2018,2,928983,1443626493.1959715
110006,2018,3,7198882,9029499185.157822
560001,2018,3,5764203,10161197002.295376
600003,2018,3,4430587,7070098756.153783
400008,2018,3,3111609,5436005565.19679
731101,2018,3,2644866,4429377129.783087
700009,2018,3,2531420,3555553312.5767612
500012,2018,3,1726388,3077635699.337487
411001,2018,3,1689517,2829639683.4067717
221001,2018,3,1439623,671779876.5266988
201301,2018,3,1438458,2181626866.4046803
560001,2018,4,7725284,14030425393.295612
110006,2018,4,7532374,11605568511.039162
600003,2018,4,5539392,10066365923.24963
400008,2018,4,4586309,8474903607.1238575
731101,2018,4,3284268,5847016363.011223
700009,2018,4,2939284,4991163446.523161
500012,2018,4,2576408,4841883809.168822
201301,2018,4,2504916,3217987818.841588
411001,2018,4,2176631,3917444399.4306126
560068,2018,4,1630650,1941175277.185885
560001,2019,1,16241340,23597361226.512825
110006,2019,1,10251048,13201959766.05106
500012,2019,1,9957548,15399177052.931395
600003,2019,1,8217185,12799152324.27052
110011,2019,1,6689740,9632804730.117004
400008,2019,1,6494529,10238553958.763014
700009,2019,1,6353573,7885002278.529919
411006,2019,1,5641935,9202990658.018358
302001,2019,1,4954219,7600396570.221162
201301,2019,1,4596696,4223121104.413077
560001,2019,2,27169035,40026681539.0066
500012,2019,2,23303184,42709920754.79193
411006,2019,2,22544991,34073354893.758354
110011,2019,2,20001452,31366326747.68567
302001,2019,2,14130072,26047079270.71371
700009,2019,2,9694969,12068405239.946836
800015,2019,2,9362673,19331794343.882797
226004,2019,2,8966947,16438621373.818607
751002,2019,2,8318660,12733845249.989027
600003,2019,2,6992850,13700604318.48539
560001,2019,3,34182229,49823702321.09828
500012,2019,3,27360144,55516914964.120514
411006,2019,3,25995035,42031275308.282005
110011,2019,3,20159577,36968948004.60185
302001,2019,3,15037317,31903765546.790287
700009,2019,3,11494363,14573984421.133255
751002,2019,3,9990982,16300297217.157505
800015,2019,3,8554034,21451659382.23745
400008,2019,3,7234595,14467758895.186302
226004,2019,3,6687157,17110382946.6282
560001,2019,4,48600127,67204107791.7798
411006,2019,4,32779718,51360244641.273315
500012,2019,4,32637373,67244225971.71475
110011,2019,4,22861243,44827058149.79611
302001,2019,4,17153003,41220743922.1253
700009,2019,4,16310685,18429094743.25623
751002,2019,4,13743261,19669451911.7042
400008,2019,4,10498727,22289347327.905037
800015,2019,4,10441675,26228173437.46787
600003,2019,4,10008230,21375916666.727257
500001,2020,1,63671159,139394865595.49792
560001,2020,1,57330889,81134886975.52737
411004,2020,1,43278566,64894935103.99599
302016,2020,1,24180734,56174137377.66255
110006,2020,1,19881142,34803706848.31907
600003,2020,1,14352747,29310364582.884754
110001,2020,1,13167147,27716426760.692245
700009,2020,1,13084249,24503076745.659294
751001,2020,1,11782987,25543182753.84958
400070,2020,1,10817537,21066837485.651253
500001,2020,2,39752686,101961882246.87434
560001,2020,2,38973791,66590268182.415665
411004,2020,2,27617700,58352702890.56202
302016,2020,2,22032140,53610675078.51194
110006,2020,2,14401400,26006450222.981194
110001,2020,2,9780539,21370003546.27849
800001,2020,2,9603835,29875811977.924408
751001,2020,2,9411361,23813152297.287315
600003,2020,2,8641869,22394007817.575096
380001,2020,2,8490730,21210698645.19712
500001,2020,3,70732132,177532009421.7673
